source_id,distance,distance_eval
03912,0.0,0.0
03912,0.0343,0.05
03912,0.0784,0.1
03912,0.147,0.15
03912,0.2352,0.2
03912,0.3529,0.4
03912,0.4705,0.6
03912,0.6372,0.73
03912,0.7941,0.83
03912,1.0,1.0
02348,0.0,0.0
02348,0.0343,0.05
02348,0.0784,0.1
02348,0.147,0.2
02348,0.2352,0.25
02348,0.3529,0.49
02348,0.4705,0.6
02348,0.6372,0.7
02348,0.7941,0.9
02348,1.0,1.0
03984,0.0,0.0
03984,0.0343,0.05
03984,0.0784,0.1
03984,0.147,0.15
03984,0.2352,0.2
03984,0.3529,0.5
03984,0.4705,0.63
03984,0.6372,0.73
03984,0.7941,0.87
03984,1.0,1.0
02361,0.0,0.0
02361,0.0343,0.05
02361,0.0784,0.1
02361,0.147,0.15
02361,0.2352,0.2
02361,0.3529,0.4
02361,0.4705,0.65
02361,0.6372,0.8
02361,0.7941,0.9
02361,1.0,1.0
03985,0.0,0.0
03985,0.0343,0.05
03985,0.0784,0.1
03985,0.147,0.15
03985,0.2352,0.2
03985,0.3529,0.45
03985,0.4705,0.67
03985,0.7941,0.8
03985,0.6372,0.9
03985,1.0,1.0
03935,0.0,0.0
03935,0.0784,0.05
03935,0.0343,0.1
03935,0.147,0.15
03935,0.2352,0.5
03935,0.3529,0.6
03935,0.4705,0.7
03935,0.6372,0.8
03935,0.7941,0.9
03935,1.0,1.0
03910,0.0,0.0
03910,0.0784,0.03
03910,0.0343,0.07
03910,0.147,0.1
03910,0.2352,0.2
03910,0.3529,0.4
03910,0.4705,0.6
03910,0.6372,0.8
03910,0.7941,0.9
03910,1.0,1.0
02347,0.0,0.0
02347,0.0343,0.03
02347,0.0784,0.1
02347,0.147,0.2
02347,0.2352,0.3
02347,0.3529,0.5
02347,0.4705,0.63
02347,0.6372,0.73
02347,0.7941,0.9
02347,1.0,1.0
03998,0.0,0.0
03998,0.0343,0.05
03998,0.0784,0.1
03998,0.147,0.15
03998,0.2352,0.2
03998,0.3529,0.5
03998,0.4705,0.65
03998,0.6372,0.8
03998,0.7941,0.9
03998,1.0,1.0
04014,0.0,0.0
04014,0.0343,0.05
04014,0.0784,0.1
04014,0.147,0.15
04014,0.2352,0.4
04014,0.3529,0.6
04014,0.4705,0.7
04014,0.6372,0.8
04014,0.7941,0.9
04014,1.0,1.0
02349,0.0,0.0
02349,0.0343,0.03
02349,0.0784,0.05
02349,0.147,0.15
02349,0.2352,0.2
02349,0.3529,0.5
02349,0.4705,0.65
02349,0.6372,0.8
02349,0.7941,0.9
02349,1.0,1.0
03996,0.0,0.0
03996,0.0343,0.05
03996,0.0784,0.1
03996,0.147,0.15
03996,0.2352,0.2
03996,0.3529,0.5
03996,0.4705,0.6
03996,0.7941,0.7
03996,0.6372,0.8
03996,1.0,1.0
03980,0.0,0.0
03980,0.0343,0.05
03980,0.0784,0.1
03980,0.147,0.15
03980,0.2352,0.2
03980,0.3529,0.5
03980,0.4705,0.6
03980,0.6372,0.7
03980,0.7941,0.8
03980,1.0,1.0
03958,0.0,0.0
03958,0.0343,0.05
03958,0.0784,0.1
03958,0.147,0.2
03958,0.2352,0.4
03958,0.3529,0.6
03958,0.4705,0.7
03958,0.6372,0.8
03958,0.7941,0.9
03958,1.0,1.0
03918,0.0,0.0
03918,0.0343,0.03
03918,0.0784,0.05
03918,0.2352,0.1
03918,0.147,0.1
03918,0.4705,0.5
03918,0.3529,0.6
03918,0.6372,0.7
03918,0.7941,0.83
03918,1.0,1.0
02377,0.0,0.0
02377,0.0343,0.03
02377,0.0784,0.1
02377,0.147,0.2
02377,0.2352,0.5
02377,0.3529,0.6
02377,0.4705,0.7
02377,0.6372,0.8
02377,0.7941,0.9
02377,1.0,1.0
